Study ID	Reported Trait	Trait	Citation	P-Value Annotation	Beta Annotation	Score Type	Units (if applicable)	Used Super Population	SNPs Excluded Due To Cutoffs	SNP Overlap	Included SNPs	Polygenic Risk Score	Percentile
GCST002961	Acylcarnitine Levels	Blood Metabolite Measurement	Draisma et al. 2015	(nonaylcarnitine)	NA	beta	unit	EUR	0	1	2	-0.02445716624900918	89-95
GCST002961	Acylcarnitine Levels	Blood Metabolite Measurement	Draisma et al. 2015	(octadecadienylcarnitine)	NA	beta	unit	EUR	0	1	1	0.043	6-40
GCST002961	Acylcarnitine Levels	Blood Metabolite Measurement	Draisma et al. 2015	(octadecenoylcarnitine)	NA	beta	unit	EUR	0	1	1	0.02165	50-91
GCST002961	Acylcarnitine Levels	Blood Metabolite Measurement	Draisma et al. 2015	(octanoylcarnitine)	NA	beta	unit	EUR	0	1	2	0.06933890576446353	13-30
GCST002961	Acylcarnitine Levels	Blood Metabolite Measurement	Draisma et al. 2015	(propionylcarnitine)	NA	beta	unit	EUR	0	1	1	0.0979	41-100
GCST002964	Sphingolipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(hydroxysphingomyeline c16:1)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002964	Sphingolipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(hydroxysphingomyeline c24:1)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002964	Sphingolipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(sphingomyeline c16:1)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002964	Sphingolipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(sphingomyeline c18:0)	NA	beta	unit	EUR	0	1	1	-0.02925	23-70
GCST002964	Sphingolipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(sphingomyeline c18:1)	NA	beta	unit	EUR	0	2	2	-0.013975	13-18
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(lysophosphatidylcholine acyl c16:1)	NA	beta	unit	EUR	0	1	1	-0.033	5-33
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(lysophosphatidylcholine acyl c20:3)	NA	beta	unit	EUR	0	2	3	0.027218188695947543	97
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(lysophosphatidylcholine acyl c20:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c32:1)	NA	beta	unit	EUR	0	1	1	0.03265	23-71
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c32:2)	NA	beta	unit	EUR	0	1	1	0.03015	23-71
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c36:2)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c36:3)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c36:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c36:5)	NA	beta	unit	EUR	0	2	2	0.0159	3-8
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c38:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c38:5)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c40:2)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c40:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c40:5)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c42:5)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c44:5)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine acyl-alkyl c44:6)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c28:1)	NA	beta	unit	EUR	0	1	1	0.05525	70-98
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c32:0)	NA	beta	unit	EUR	0	1	1	-0.0362	0-12
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c34:2)	NA	beta	unit	EUR	0	1	1	0.0305	89-100
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c34:3)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c34:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c36:2)	NA	beta	unit	EUR	0	1	1	0.0356	90-100
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c36:3)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c36:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c36:5)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c38:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c38:5)	NA	beta	unit	EUR	0	1	1	-0.1041	0-11
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c40:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c40:5)	NA	beta	unit	EUR	0	1	1	-0.075	0-12
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c40:6)	NA	beta	unit	EUR	0	1	1	-0.0592	0-11
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c42:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c42:5)	NA	beta	unit	EUR	0	1	1	0.0216	21-68
GCST002965	Glycerophospholipid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phosphatidylcholine diacyl c42:6)	NA	beta	unit	EUR	0	1	1	0.0144	21-68
GCST002966	Amino Acid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(glutamine)	NA	beta	unit	EUR	0	1	1	0.0171	4-32
GCST002966	Amino Acid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(phenylalanine)	NA	beta	unit	EUR	0	1	1	-0.0101	38-85
GCST002966	Amino Acid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(serine)	NA	beta	unit	EUR	0	2	3	-0.013804914956930306	39-49
GCST002966	Amino Acid Levels	Blood Metabolite Measurement	Draisma et al. 2015	(tyrosine)	NA	beta	unit	EUR	0	1	1	-0.01485	54-93
GCST003664	Metabolite Levels (Lipid Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(other polyunsaturated fatty acids than 18:2)	NA	beta	unit	EUR	0	1	2	-0.2000774360342245	0
GCST003664	Metabolite Levels (Lipid Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(serum total triglycerides)	NA	beta	unit	EUR	0	1	1	0.05	12-53
GCST003665	Metabolite Levels (Lipoprotein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(free cholesterol in very large hdl)	NA	beta	unit	EUR	0	1	1	0.09	26-100
GCST003665	Metabolite Levels (Lipoprotein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(hdl diameter)	NA	beta	unit	EUR	0	1	2	0.061933315485613184	82-83
GCST003665	Metabolite Levels (Lipoprotein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(phospholipids in large ldl)	NA	beta	unit	EUR	0	1	1	0.04	60-95
GCST003665	Metabolite Levels (Lipoprotein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(phospholipids in very large hdl)	NA	beta	unit	EUR	0	1	1	-0.07	0-32
GCST003665	Metabolite Levels (Lipoprotein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(total cholesterol in medium vldl)	NA	beta	unit	EUR	0	1	1	-0.09	1-11
GCST003665	Metabolite Levels (Lipoprotein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(triglycerides in small vldl)	NA	beta	unit	EUR	0	1	2	-0.13030121150581087	1-16
GCST003665	Metabolite Levels (Lipoprotein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(triglycerides in very large hdl)	NA	beta	unit	EUR	0	1	1	-0.26	0-36
GCST003665	Metabolite Levels (Lipoprotein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(triglycerides in very small vldl)	NA	beta	unit	EUR	0	1	1	-0.045	21-70
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(alanine)	NA	beta	unit	EUR	0	2	2	-0.0425	54-76
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(citrate)	NA	beta	unit	EUR	0	2	3	0.011922453420201805	1-6
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(glucose)	NA	beta	unit	EUR	0	2	3	0.044247965130677414	44-46
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(glutamine)	NA	beta	unit	EUR	0	2	2	-0.0375	24-31
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(histidine)	NA	beta	unit	EUR	0	2	3	0.00046311127277837844	64
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(phenylalanine)	NA	beta	unit	EUR	0	2	2	0.0024999999999999988	21-22
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(tyrosine)	NA	beta	unit	EUR	0	1	1	-0.05	18-65
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Blood Metabolite Measurement	Kettunen et al. 2016	(valine)	NA	beta	unit	EUR	0	1	2	0.04677564033286502	42-43
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(10-undecenoate (11:1n1)/x-11438)	NA	beta	unit	EUR	0	1	2	-0.04295973136705878	35-66
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(3-(4-hydroxyphenyl)lactate/alpha-hydroxyisovalerate)	NA	beta	unit	EUR	0	1	1	-0.0215	20-66
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(adpsgegdfxaegggvr/x-14304--leucylalanine)	NA	beta	unit	EUR	0	1	1	-0.124	0-63
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(adsgegdfxaegggvr/adpsgegdfxaegggvr)	NA	beta	unit	EUR	0	2	3	-0.02195237635616489	43-49
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(androsterone sulfate/4-androsten-3beta,17beta-diol disulfate 2)	NA	beta	unit	EUR	0	1	2	-0.06681991458918485	4
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(arachidonate (20:4n6)/1-arachidonoylglycerophosphoinositol)	NA	beta	unit	EUR	0	1	1	0.014	34-82
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(arachidonate (20:4n6)/dihomo-linolenate (20:3n3 or n6))	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(carnitine/x-12798)	NA	beta	unit	EUR	0	1	1	0.077	41-100
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(dhea-s/4-androsten-3beta,17beta-diol disulfate 2)	NA	beta	unit	EUR	0	1	1	-0.014	19-66
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(docosapentaenoate (n3 dpa; 22:5n3)/x-12627)	NA	beta	unit	EUR	0	1	1	0.021	60-95
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(dsgegdfxaegggvr/adpsgegdfxaegggvr)	NA	beta	unit	EUR	0	3	3	-0.0018333333333333337	56-58
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(glucose/mannose)	NA	beta	unit	EUR	0	1	1	0.0205	38-85
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(glutamine/histidine)	NA	beta	unit	EUR	0	1	1	0.009	4-34
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(isoleucine/x-11529)	NA	beta	unit	EUR	0	1	1	0.15	3-27
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(lysine/glutaroyl carnitine)	NA	beta	unit	EUR	0	1	2	0.01928504794135402	34
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(myristate (14:0)/myristoleate (14:1n5))	NA	beta	unit	EUR	0	1	1	0.027	67-96
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(octanoylcarnitine/x-13435)	NA	beta	unit	EUR	0	1	1	0.028	12-53
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(phenyllactate (pla)/phenylalanine)	NA	beta	unit	EUR	0	1	1	0.0135	31-80
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(phosphate/erythronate)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(urate/histidine)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(valine/isovalerylcarnitine)	NA	beta	unit	EUR	0	1	1	-0.0195	15-60
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(x-08402/cholesterol)	NA	beta	unit	EUR	0	1	1	0.0325	70-98
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(x-10510/palmitoyl sphingomyelin)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(x-11440/4-androsten-3beta,17beta-diol disulfate 2)	NA	beta	unit	EUR	0	1	1	0.0705	3-29
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(x-11444/x-11470)	NA	beta	unit	EUR	0	1	1	0.027	48-100
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(x-11444/x-12844)	NA	beta	unit	EUR	0	1	1	0.018	20-67
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(x-12038/bradykinin, des-arg(9))	NA	beta	unit	EUR	0	1	1	0.0895	55-93
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(x-12095--n1-methyl-3-pyridone-4-carboxamide/x-12844)	NA	beta	unit	EUR	0	1	1	-0.038	0-55
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(x-12798/phenylalanine)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002442	Blood Metabolite Ratios	Blood Metabolite Measurement	Shin et al. 2014	(x-13215/x-13671)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(1-arachidonoylglycerophosphocholine)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(1-arachidonoylglycerophosphoethanolamine)	NA	beta	unit	EUR	0	2	2	-0.02475	10-12
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(1-arachidonoylglycerophosphoinositol)	NA	beta	unit	EUR	0	2	3	-0.019006189122536973	38-39
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(1-eicosatrienoylglycerophosphocholine)	NA	beta	unit	EUR	0	1	1	0.04	98-100
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(1-linoleoylglycerophosphoethanolamine)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(1-stearoylglycerophosphoethanolamine)	NA	beta	unit	EUR	0	1	1	-0.029	0-60
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(1,5-anhydroglucitol (1,5-ag))	NA	beta	unit	EUR	0	2	2	-0.001999999999999999	39-49
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(2-hydroxyisobutyrate)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(3-(4-hydroxyphenyl)lactate)	NA	beta	unit	EUR	0	1	1	-0.0095	18-65
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(3-dehydrocarnitine)	NA	beta	unit	EUR	0	2	2	0.0065	21-24
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(3-methyl-2-oxovalerate)	NA	beta	unit	EUR	0	1	1	-0.007	22-71
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(4-androsten-3beta,17beta-diol disulfate 1)	NA	beta	unit	EUR	0	1	1	-0.0875	3-28
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(4-androsten-3beta,17beta-diol disulfate 2)	NA	beta	unit	EUR	0	2	2	-0.004750000000000001	68-81
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(5-oxoproline)	NA	beta	unit	EUR	0	1	1	0.064	17-100
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(5alpha-androstan-3beta,17beta-diol disulfate)	NA	beta	unit	EUR	0	2	3	-0.01980188780538179	3
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(acetylcarnitine)	NA	beta	unit	EUR	0	2	2	0.0045	64-92
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(adpsgegdfxaegggvr)	NA	beta	unit	EUR	0	2	2	0.01025	16-47
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(adrenate (22:4n6))	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(alanine)	NA	beta	unit	EUR	0	1	1	0.0065	38-85
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(alpha-hydroxyisovalerate)	NA	beta	unit	EUR	0	2	2	-0.01025	73-87
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(androsterone sulfate)	NA	beta	unit	EUR	0	2	3	-0.05463244797148459	4
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(arachidonate (20:4n6))	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(bradykinin, des-arg(9))	NA	beta	unit	EUR	0	1	2	-0.05794158345455254	41-43
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(butyrylcarnitine)	NA	beta	unit	EUR	0	1	2	-0.06070449047924843	23-55
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(caffeine)	NA	beta	unit	EUR	0	1	1	0.032	40-87
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(carnitine)	NA	beta	unit	EUR	0	3	4	0.0073972110691431624	49-54
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(cis-4-decenoyl carnitine)	NA	beta	unit	EUR	0	1	2	0.028010614375351843	13-30
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(citrulline)	NA	beta	unit	EUR	0	1	1	-0.0055	43-88
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(decanoylcarnitine)	NA	beta	unit	EUR	0	1	2	0.03289123829064464	35
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(dehydroisoandrosterone sulfate (dhea-s))	NA	beta	unit	EUR	0	1	1	-0.023	3-28
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(dihomo-linolenate (20:3n3 or n6))	NA	beta	unit	EUR	0	1	2	0.02243235272925652	98-99
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(docosapentaenoate (n3 dpa; 22:5n3))	NA	beta	unit	EUR	0	1	1	-0.026	0-9
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(eicosapentaenoate (epa; 20:5n3))	NA	beta	unit	EUR	0	1	1	-0.036	0-9
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(epiandrosterone sulfate)	NA	beta	unit	EUR	0	1	2	0.04276375436235277	4
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(erythritol)	NA	beta	unit	EUR	0	1	2	-0.006572531960785547	18-20
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(erythronate)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(gamma-glutamylglutamine)	NA	beta	unit	EUR	0	1	1	0.012	4-32
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(glutamine)	NA	beta	unit	EUR	0	1	1	0.0075	4-32
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(glutaroyl carnitine)	NA	beta	unit	EUR	0	3	6	0.0008244826786721759	40-41
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(hexadecanedioate)	NA	beta	unit	EUR	0	1	2	-0.002821225567740032	73-79
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(hexanoylcarnitine)	NA	beta	unit	EUR	0	2	3	0.02845620771884841	53-59
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(histidine)	NA	beta	unit	EUR	0	1	1	0.005	63-96
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(homocitrulline)	NA	beta	unit	EUR	0	1	1	0.033	65-100
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(homostachydrine)	NA	beta	unit	EUR	0	1	1	0.015	22-70
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(hydroxyisovaleroyl carnitine)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(hypoxanthine)	NA	beta	unit	EUR	0	1	1	0.02	85-100
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(indolelactate)	NA	beta	unit	EUR	0	1	1	0.0095	10-49
GCST002443	Blood Metabolite Levels	Blood Metabolite Measurement	Shin et al. 2014	(isobutyrylcarnitine)	NA	beta	unit	EUR	0	1	2	0.03798793980004472	28-33
